time,ntime,latitude,nlatitude,longitude,nlongitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-10T04:34:15.770Z,2019-02-10 04:34:16,33.0938333,123.0938333,-116.0333333,63.9666667,9.55,0.87,ml,18,64,0.1287,0.28,ci,ci37527410,2019-02-10T04:37:55.802Z,"11km ESE of Ocotillo Wells, CA",earthquake,0.56,2.15,0.109,12,automatic,ci,ci
2019-02-10T04:29:46.500Z,2019-02-10 04:29:47,35.8018,125.8018,-116.4607,63.5393,4,2.1,ml,13,276.24,0.166,0.14,nn,nn00677437,2019-02-10T04:31:15.319Z,"62km SW of Pahrump, Nevada",earthquake,,7.3,,,automatic,nn,nn
2019-02-10T04:29:27.710Z,2019-02-10 04:29:28,34.7091667,124.7091667,-116.2858333,63.7141667,2.19,2.83,ml,24,59,0.1138,0.17,ci,ci37527402,2019-02-10T04:33:08.980Z,"12km W of Ludlow, CA",earthquake,0.28,0.73,0.155,24,automatic,ci,ci
2019-02-10T04:28:00.207Z,2019-02-10 04:28:00,63.4443,153.4443,-147.5591,32.4409,3.9,1.6,ml,,,,0.68,ak,ak0191vvkyqc,2019-02-10T04:31:45.405Z,"69km E of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-10T04:10:07.140Z,2019-02-10 04:10:07,47.96416667,137.9641667,-122.3785,57.6215,27.13,2.33,ml,19,75,,0.14,uw,uw61511426,2019-02-10T04:22:28.600Z,"5km WNW of Mukilteo, Washington",earthquake,0.41,1.06,0.194837691,11,reviewed,uw,uw
2019-02-10T03:54:06.450Z,2019-02-10 03:54:06,21.1545,111.1545,143.4786,323.4786,141.31,4.5,mb,,128,34.895,0.72,us,us2000jfv1,2019-02-10T04:17:31.040Z,"162km WNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,11.5,8.4,0.083,43,reviewed,us,us
2019-02-10T03:46:05.600Z,2019-02-10 03:46:06,33.4923333,123.4923333,-116.7896667,63.2103333,3.92,0.97,ml,42,43,0.02189,0.19,ci,ci37527386,2019-02-10T03:49:49.185Z,"9km NE of Aguanga, CA",earthquake,0.23,0.5,0.147,27,automatic,ci,ci
2019-02-10T03:39:01.391Z,2019-02-10 03:39:01,61.1598,151.1598,-150.1368,29.8632,41.5,1.5,ml,,,,0.56,ak,ak0191vv1w3f,2019-02-10T03:42:26.398Z,"14km WSW of Anchorage, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-02-10T03:29:40.251Z,2019-02-10 03:29:40,61.4397,151.4397,-149.9674,30.0326,48.8,1.8,ml,,,,0.68,ak,ak0191vuztxq,2019-02-10T03:42:26.046Z,"9km S of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-02-10T03:22:51.660Z,2019-02-10 03:22:52,33.2503333,123.2503333,-116.5993333,63.4006667,11.6,0.73,ml,27,65,0.06496,0.22,ci,ci37527378,2019-02-10T03:26:22.714Z,"5km SE of Warner Springs, CA",earthquake,0.39,0.83,0.278,13,automatic,ci,ci
